time,TOP.SimTop.cpu.l_soc.chi_llcBridge_opt.auto_axi4_out_aw_bits_addr,TOP.SimTop.cpu.l_soc.chi_llcBridge_opt.auto_axi4_out_aw_valid,TOP.SimTop.cpu.l_soc.chi_llcBridge_opt.auto_axi4_out_b_valid,TOP.SimTop.cpu.l_soc.chi_llcBridge_opt.auto_axi4_out_w_bits_data
2650,0x80004000,0,0,0x1010101
2698,0x80004004,1,0,0x1010101
2699,0x80004004,0,0,0x1212121200000000
2706,0x80004004,0,1,0x1212121200000000
2707,0x80004004,0,0,0x1212121200000000
2732,0x80004000,1,0,0x1212121200000000
2733,0x80004000,0,0,0x12121212
2740,0x80004000,0,1,0x12121212
2741,0x80004000,0,0,0x12121212
2898,0x80004004,1,0,0x12121212
2899,0x80004004,0,0,0x2323232300000000
2906,0x80004004,0,1,0x2323232300000000
2907,0x80004004,0,0,0x2323232300000000
2932,0x80004000,1,0,0x2323232300000000
2933,0x80004000,0,0,0x23232323
2940,0x80004000,0,1,0x23232323
2941,0x80004000,0,0,0x23232323
3142,0x80004004,1,0,0x23232323
3143,0x80004004,0,0,0x3434343400000000
3150,0x80004004,0,1,0x3434343400000000
3151,0x80004004,0,0,0x3434343400000000
3283,0x80004000,1,0,0x3434343400000000
3284,0x80004000,0,0,0x34343434
3291,0x80004000,0,1,0x34343434
3292,0x80004000,0,0,0x34343434
